綜藝生活,#genre#
RTA1,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA1)/03.m3u8
RTA1,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA1)/index.m3u8
RTA2,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA2)/03.m3u8
RTA2,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA2)/index.m3u8
RTA3,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA3)/03.m3u8
RTA3,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA3)/variant.m3u8
RTA4,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA4)/03.m3u8
RTA4,https://rtatv.akamaized.net/Content/HLS/Live/channel(RTA4)/index.m3u8

rtvela1,https://rtvelivestream.akamaized.net/rtvesec/la1/la1_main_dvr_720.m3u8
rtvela1,https://rtvelivestream.akamaized.net/rtvesec/la1/la1_main_dvr.m3u8
rtvela2,https://rtvelivestream.akamaized.net/rtvesec/la2/la2_main_dvr.m3u8
rtve24h,https://rtvelivestream.akamaized.net/rtvesec/24h/24h_main_dvr_720.m3u8
rtve24h,https://rtvelivestream.akamaized.net/rtvesec/24h/24h_main_dvr.m3u8
weyyak_zee_aflam,https://weyyak-live.akamaized.net/weyyak_zee_aflam/tracks-v1a1/mono.m3u8
weyyak_zee_aflam,https://weyyak-live.akamaized.net/weyyak_zee_aflam/index.m3u8
weyyak_zee_alwan,https://weyyak-live.akamaized.net/weyyak_zee_alwan/tracks-v1a1/mono.m3u8
weyyak_zee_alwan,https://weyyak-live.akamaized.net/weyyak_zee_alwan/index.m3u8
ndtvindia,https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/masterp_720p@3.m3u8
ndtvindia,https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/master.m3u8
xcanrdi,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master_3000.m3u8
xcanrdi,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master.m3u8
xcancbft,https://rcavlive.akamaized.net/hls/live/696615/xcancbft/master_3000.m3u8
xcancbft,https://rcavlive.akamaized.net/hls/live/696615/xcancbft/master.m3u8
kgss-1721137114-v96274,https://kgs-v1.akamaized.net/kv3/jul-2024/96274/kgss-1721137114-v96274_720p2628kbs/index.m3u8
kgss-1721137114-v96274,https://kgs-v1.akamaized.net/kv3/jul-2024/96274/kgss-1721137114-v96274.m3u8
k12n12wad,https://mako-streaming.akamaized.net/stream/hls/live/2033791/k12n12wad/profile/4/profileManifest.m3u8?_uid=a004f873-f654-4ab8-a86c-4aa2bbfc909d&rK=a1
abp,https://abplivetv.akamaized.net/hls/live/2043010/hindi/master_720.m3u8
abp,https://abplivetv.akamaized.net/hls/live/2043010/hindi/master.m3u8
mtv-hits,https://ds-glb-linear-abematv.akamaized.net/channel/mtv-hits/1080/playlist.m3u8
mtv-hits,https://ds-glb-linear-abematv.akamaized.net/channel/mtv-hits/playlist.m3u8
srfsgeo,https://srfs.akamaized.net/hls/live/689649/srfsgeo/master-720p-3328.m3u8
srfsgeo,https://srfs.akamaized.net/hls/live/689649/srfsgeo/index.m3u8

听的懂系列,#genre#
RTHKTV31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHKTV32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHKTV33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHKTV34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHKTV35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
RTHKTV36,https://rthktv36-live.akamaized.net/hls/live/2112176/RTHKTV36/stream05/streamPlaylist.m3u8
RTHKTV35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/master.m3u8
美亚C+,https://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
Hoy 76,https://hoytv-live-stream.hoy.tv/ch76/va2-index.m3u8
Hoy 76,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
Hoy 77,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
Hoy 78,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8

voa-ingest,#genre#
voa-ingest-01,https://voa-ingest.akamaized.net/hls/live/2033866/tvmc01/playlist_1080.m3u8
voa-ingest-01,https://voa-ingest.akamaized.net/hls/live/2033866/tvmc01/playlist.m3u8
voa-ingest-02,https://voa-ingest.akamaized.net/hls/live/2033781/tvmc02/playlist_1080.m3u8
voa-ingest-02,https://voa-ingest.akamaized.net/hls/live/2033781/tvmc02/playlist.m3u8
voa-ingest-03,https://voa-ingest.akamaized.net/hls/live/2033868/tvmc03/playlist_1080.m3u8
voa-ingest-03,https://voa-ingest.akamaized.net/hls/live/2033868/tvmc03/playlist.m3u8
voa-ingest-04,https://voa-ingest.akamaized.net/hls/live/2033870/tvmc04/playlist_1080.m3u8
voa-ingest-05,https://voa-ingest.akamaized.net/hls/live/2033870/tvmc04/playlist.m3u8
voa-ingest-05,https://voa-ingest.akamaized.net/hls/live/2033872/tvmc05/playlist_1080.m3u8
voa-ingest-05,https://voa-ingest.akamaized.net/hls/live/2033872/tvmc05/playlist.m3u8
voa-ingest-06,https://voa-ingest.akamaized.net/hls/live/2033874/tvmc06/playlist_1080.m3u8
voa-ingest-06,https://voa-ingest.akamaized.net/hls/live/2033874/tvmc06/playlist.m3u8
voa-ingest-07,https://voa-ingest.akamaized.net/hls/live/2033876/tvmc07/playlist_1080.m3u8
voa-ingest-07,https://voa-ingest.akamaized.net/hls/live/2033876/tvmc07/playlist.m3u8
voa-ingest-08,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist_1080.m3u8
voa-ingest-08,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
